Movie;Month;Day;Release Year;Budget($M);Domestic Gross($M);Worldwide Gross($M);Votes;Rating
The Avengers;May;4;2012;225;623.279547;1519.479547;31692;3.6
The Amazing Spider-Man;Jul;3;2012;220;262.030663;757.890267;313331;7.1
Men in Black 3;May;25;2012;215;179.020854;654.213485;194534;6.9
Battleship;May;18;2012;209;65.2334;305.218228;161380;5.9
Skyfall;Nov;8;2012;200;304.360277;1110.526981;387093;7.8
Brave;Jun;22;2012;185;237.282182;554.606532;172531;7.2
Snow White and the Huntsman;Jun;1;2012;170;155.136755;401.016924;177637;6.2
Wreck-It Ralph;Nov;2;2012;165;189.412677;496.511521;174565;7.8
Wrath of the Titans;Mar;30;2012;150;83.670083;305.270083;121537;5.8
Dark Shadows;May;11;2012;150;79.727149;238.202668;151129;6.3
Madagascar 3: Europe's Most Wanted;Jun;8;2012;145;216.391482;746.921271;83681;7
Rise of the Guardians;Nov;21;2012;145;103.412758;306.900902;84011;7.3
The Croods;Oct;1;2012;135;187.168425;573.068425;97734;7.3
Prometheus;Jun;8;2012;125;126.477084;399.005706;349105;7.1
The Bourne Legacy;Aug;10;2012;125;113.20387;280.35592;172040;6.7
Total Recall;Aug;3;2012;125;58.877969;211.856088;189692;7.5
Life of Pi;Nov;21;2012;120;124.987022;607.987022;305639;8.1
Cloud Atlas;Oct;26;2012;102;27.108272;130.673154;218546;7.6
Django Unchained;Dec;25;2012;100;162.805434;449.948323;594597;8.5
The Expendables 2;Aug;17;2012;100;85.028192;311.979256;184935;6.8
Ice Age: Continental Drift;Jul;13;2012;95;161.321843;879.765137;99524;6.7
The Campaign;Aug;10;2012;95;86.907746;104.907746;86119;6.2
Hotel Transylvania;Sep;28;2012;85;148.313048;378.505812;102580;7.1
Safe House;Feb;10;2012;85;126.18163;208.542162;1951;7.1
Mirror Mirror;Mar;30;2012;85;64.935167;173.613482;612;5.6
The Hunger Games;Mar;23;2012;80;408.010692;677.923379;495377;7.3
Journey 2: The Mysterious Island;Feb;10;2012;79;103.86029;318.146162;51198;5.8
Underworld: Awakening;Jan;20;2012;70;62.321039;160.37993;89313;6.4
Rock of Ages;Jun;15;2012;70;38.518613;61.031932;49570;5.9
